TIME,Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693757981.532843,3162.0,0.415,4.6875
1693757982.04275,3175.0,0.115,3.125
1693757982.55205,3175.0,0.595,-1.5625
1693757983.063308,3171.0,0.84,1.5625
1693757983.57305,3175.0,0.18,4.6875
1693757984.083364,3170.0,0.12,2.34375
1693757984.56304,3170.0,0.765,0.0
1693757985.043281,3173.0,0.73,5.46875
1693757985.523801,3163.0,0.13,3.90625
1693757986.00406,3165.0,0.57,-1.5625
1693757986.514331,3161.0,0.83,1.5625
1693757986.993005,3159.0,0.135,4.6875
1693757987.473721,3154.0,0.155,2.34375
1693757987.983836,3157.0,0.78,0.0
1693757988.464437,3158.0,0.765,5.46875
1693757988.943509,3158.0,0.115,3.90625
1693757989.453418,3161.0,0.315,1.5625
1693757989.933374,3159.0,0.83,1.5625
1693757990.413797,3161.0,0.52,5.46875
1693757990.893067,3169.0,0.115,2.34375
1693757991.404454,3169.0,0.785,0.78125
1693757991.883552,3158.0,0.825,2.34375
1693757992.363527,3177.0,0.38,4.6875
1693757992.844152,3165.0,0.83,-2.34375
1693757993.323172,3117.0,0.835,-6.25
1693757993.803284,3100.0,0.0,0.0
1693757994.283023,3057.0,0.0,0.0
1693757994.763205,3019.0,0.055,5.46875
1693757995.24335,3014.0,0.82,4.6875
1693757995.72333,3006.0,0.86,7.03125
1693757996.203087,2960.0,0.86,0.0
1693757996.683557,2938.0,0.0,0.0
1693757997.163307,2946.0,0.055,3.90625
1693757997.643457,2892.0,0.84,2.34375
