TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693756878.267684,2840.0,57,0.625,0.78125
1693756879.01892,2859.0,63,0.83,-0.78125
1693756879.737757,2899.0,61,0.81,1.5625
1693756880.459148,2932.0,37,0.895,-0.78125
1693756881.207744,2874.0,27,0.025,0.0
1693756881.958417,2788.0,29,0.0,0.0
1693756882.67839,2688.0,28,0.0,0.0
1693756883.397594,2584.0,28,0.0,0.0
1693756884.118174,2484.0,27,0.0,0.0
1693756884.837622,2386.0,34,0.03,2.34375
1693756885.618584,2379.0,40,0.88,3.125
1693756886.338078,2316.0,91,0.42,-3.90625
1693756887.05919,3750.0,26,0.0,0.0
1693756887.778779,3436.0,24,0.0,0.0
1693756888.529604,3227.0,55,0.625,7.8125
1693756889.280882,3495.0,94,0.83,2.34375
1693756889.999443,3860.0,92,0.66,0.0
1693756890.718098,4293.0,90,0.305,3.125
1693756891.440785,4685.0,91,0.135,3.90625
1693756892.187894,5102.0,91,0.83,1.5625
1693756892.907671,5482.0,91,0.205,2.34375
1693756893.65786,5823.0,91,0.285,4.6875
1693756894.378614,6112.0,90,0.8,-0.78125
1693756895.09833,6383.0,33,0.85,0.0
1693756895.818286,5551.0,26,0.0,0.0
1693756896.541349,4228.0,84,0.84,10.9375
1693756897.288415,4209.0,92,0.83,2.34375
1693756898.008093,4350.0,92,0.31,1.5625
1693756898.72797,4505.0,92,0.29,3.125
1693756899.447423,4641.0,93,0.885,0.0
1693756900.198369,4792.0,89,0.08,1.5625
1693756900.977796,4918.0,84,0.805,6.25
1693756901.697696,5017.0,80,0.78,0.78125
1693756902.417702,5106.0,84,0.415,-0.78125
1693756903.13818,5183.0,39,0.9,-4.6875
1693756903.888168,4641.0,22,0.0,0.0
1693756904.639261,3657.0,71,0.755,11.71875
1693756905.35841,3691.0,84,0.135,6.25
1693756906.137061,3741.0,88,0.81,3.125
1693756906.857678,3801.0,83,0.665,-0.78125
1693756907.577055,3834.0,82,0.14,0.78125
1693756908.297535,3878.0,65,0.84,-7.8125
1693756909.017868,3854.0,23,0.115,-13.28125
1693756909.73843,3827.0,90,0.055,-0.78125
1693756910.488083,3862.0,92,0.39,-2.34375
1693756911.207964,3914.0,92,0.255,3.125
1693756911.957878,3968.0,92,0.82,0.0
1693756912.737826,4015.0,92,0.165,0.78125
1693756913.459129,4074.0,90,0.64,4.6875
1693756914.209479,4121.0,48,0.85,-9.375
1693756914.928504,4050.0,24,0.03,-10.9375
1693756915.679648,4034.0,65,0.06,2.34375
